time,stock,paired_shares,imbalance_shares,imbalance_direction,imbalance_ratio,signed_imbalance,near_reference_deviation,far_price,near_price,reference_price,signal
0 days 09:29:59.113335875,CTIC,75358,48969,S,0.3938726101329558,-0.3938726101329558,-0.008869179600886927,4.46,4.47,4.51,-1
0 days 09:29:59.023221834,GRNQ,12977,8511,S,0.39608153387937456,-0.39608153387937456,-0.021136363636363578,0.41,0.4307,0.44,-1
0 days 09:29:59.051958460,ITRM,7634,5143,S,0.4025201534006418,-0.4025201534006418,-0.010309278350515474,0.24,0.24,0.2425,-1
0 days 09:29:59.303568596,CLVR,6757,4595,S,0.4047744890768147,-0.4047744890768147,-0.007575757575757582,1.3,1.31,1.32,-1
0 days 09:29:59.241553692,CNSP,1145,794,S,0.40948942753996903,-0.40948942753996903,-0.0044958253050738995,0.31,0.31,0.3114,-1
0 days 09:29:59.176338666,FNHC,1638,1276,S,0.4378860672614962,-0.4378860672614962,-0.13043478260869565,0.38,0.38,0.437,-1
0 days 09:29:59.155522919,IMPP,22950,17992,S,0.4394509305847296,-0.4394509305847296,-0.0068704912401236756,0.8673,0.8673,0.8733,-1
0 days 09:29:59.040343592,DMLP,663,539,S,0.44841930116472545,-0.44841930116472545,-0.0018761726078798185,26.42,26.6,26.65,-1
0 days 09:29:59.019856465,IDEX,45337,37656,S,0.45372501295289963,-0.45372501295289963,-0.021111111111111077,0.61,0.6167,0.63,-1
0 days 09:29:59.253670352,MKD,10060,8767,S,0.46566101874966803,-0.46566101874966803,-0.028596961572832837,0.1087,0.1087,0.1119,-1
0 days 09:29:59.215540716,RDBX,11895,12265,S,0.5076572847682119,-0.5076572847682119,-0.013157894736842117,6.0,6.0,6.08,-1
0 days 09:29:59.161875135,OMEX,606,632,S,0.5105008077544426,-0.5105008077544426,-0.00733944954128441,5.41,5.41,5.45,-1
0 days 09:29:59.050198221,BTRS,2067,2247,S,0.5208623087621697,-0.5208623087621697,-0.0050847457627119065,5.87,5.87,5.9,-1
0 days 09:29:59.198914022,FAAR,1335,1514,S,0.5314145314145314,-0.5314145314145314,-0.0005863383172089129,33.79,34.09,34.11,-1
0 days 09:29:59.131620234,PEPG,1519,1921,S,0.5584302325581395,-0.5584302325581395,-0.006488240064882406,12.01,12.25,12.33,-1
0 days 09:29:59.255503893,GNCA,10686,13863,S,0.56470732005377,-0.56470732005377,-0.00047596382674924674,0.2,0.21,0.2101,-1
0 days 09:29:59.119705784,ENSC,2494,3313,S,0.5705183399345617,-0.5705183399345617,-0.01459854014598528,0.8,0.81,0.822,-1
0 days 09:29:59.053703962,DTSS,334,486,S,0.5926829268292683,-0.5926829268292683,-0.006896551724137937,2.87,2.88,2.9,-1
0 days 09:29:59.066254502,CVT,1667,2588,S,0.6082256169212691,-0.6082256169212691,-0.001724137931034446,5.79,5.79,5.8,-1
0 days 09:29:59.155232194,IMV,858,1355,S,0.6122910076818798,-0.6122910076818798,-0.009433962264150952,1.05,1.05,1.06,-1
0 days 09:29:59.236987276,PME,3210,5276,S,0.6217299080839029,-0.6217299080839029,-0.033152173913043564,0.8805,0.8895,0.92,-1
0 days 09:29:59.111001391,CSCW,47686,78552,S,0.6222532042649599,-0.6222532042649599,-0.008264462809917363,0.12,0.12,0.121,-1
0 days 09:29:59.198107283,ONVO,326,582,S,0.6409691629955947,-0.6409691629955947,-0.01930501930501924,2.54,2.54,2.59,-1
0 days 09:29:59.004274445,SNES,875,1690,S,0.6588693957115009,-0.6588693957115009,-0.03017543859649122,0.541,0.5528,0.57,-1
0 days 09:29:59.174877296,REVHW,923,1817,S,0.6631386861313868,-0.6631386861313868,-0.16826666666666665,0.2911,0.3119,0.375,-1
0 days 09:29:59.047438880,TCBP,451,898,S,0.6656782802075611,-0.6656782802075611,-0.042253521126760445,1.35,1.36,1.42,-1
